Name,Full Text,Language,Concept,Text ,Relevance,Month,Year
AnishPrabhakar5,RT @TheF2: #HereToCreate _Ÿ_€_Ÿ’¥ https://t.co/0Xuof1Eweu,und,TwitterHandle,@TheF2,0.01,Apr,2018
AnishPrabhakar5,"RT @nishthvanth: à´’à´°àµÅ à´¸àµ€à´°à´¿à´¯àµ_ à´¨à´Ÿà´¨àµçà´±àµ† à´•à´Ÿàµçà´Ÿ à´«à´_àµ» à´†à´¯à´_àµÅ à´‰à´ªàµçà´ªàµÅà´‚ à´®àµÅà´_à´•à´¿à´_àµ† à´ˆ à´®àµÅà´_à´_à´¿à´¨àµ† à´•à´£àµçà´Ÿ à´¶àµ‡à´·à´®à´_à´£àµç..
à´¬à´_à´_àµÅ à´_àµ‡à´Ÿàµçà´Ÿàµ» à´‡à´¸àµçâ€Œà´¡à´‚.._Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç https://t.co/KZpY5wGtJA",ml,TwitterHandle,@nishthvanth,0.01,Apr,2018
AnishPrabhakar5,RT @KeralaBlasters: A win over Mizoram in the semifinal of the Santosh Trophy has setup a mouthwatering final against West Bengal on Sundayâ€_,en,concept,Assam,0.908477,Mar,2018
AnishPrabhakar5,RT @KeralaBlasters: A win over Mizoram in the semifinal of the Santosh Trophy has setup a mouthwatering final against West Bengal on Sundayâ€_,en,concept,Burma,0.802322,Mar,2018
AnishPrabhakar5,RT @KeralaBlasters: A win over Mizoram in the semifinal of the Santosh Trophy has setup a mouthwatering final against West Bengal on Sundayâ€_,en,Location,Mizoram,0.33,Mar,2018
AnishPrabhakar5,RT @KeralaBlasters: A win over Mizoram in the semifinal of the Santosh Trophy has setup a mouthwatering final against West Bengal on Sundayâ€_,en,Company,Santosh Trophy,0.33,Mar,2018
AnishPrabhakar5,RT @KeralaBlasters: A win over Mizoram in the semifinal of the Santosh Trophy has setup a mouthwatering final against West Bengal on Sundayâ€_,en,Location,West Bengal,0.33,Mar,2018
AnishPrabhakar5,RT @KeralaBlasters: A win over Mizoram in the semifinal of the Santosh Trophy has setup a mouthwatering final against West Bengal on Sundayâ€_,en,TwitterHandle,@KeralaBlasters,0.33,Mar,2018
AnishPrabhakar5,@Humey_7 @Mohanlal Lalettan and humettan in a single frame ! Wow_Ÿ˜ç_Ÿ˜ç,en,Company,Mohanlal Lalettan,0.797485,Mar,2018
AnishPrabhakar5,@Humey_7 @Mohanlal Lalettan and humettan in a single frame ! Wow_Ÿ˜ç_Ÿ˜ç,en,TwitterHandle,@Mohanlal,0.797485,Mar,2018
AnishPrabhakar5,@Humey_7 @Mohanlal Lalettan and humettan in a single frame ! Wow_Ÿ˜ç_Ÿ˜ç,en,TwitterHandle,@Humey_7,0.797485,Mar,2018
AnishPrabhakar5,"@VodafoneIN It's not the first time I reported the same issue, you guys haven't rectified yet!",en,concept,Robin Beck,0.9072,Mar,2018
AnishPrabhakar5,"@VodafoneIN It's not the first time I reported the same issue, you guys haven't rectified yet!",en,concept,Surface,0.902439,Mar,2018
AnishPrabhakar5,"@VodafoneIN It's not the first time I reported the same issue, you guys haven't rectified yet!",en,TwitterHandle,@VodafoneIN,0.01,Mar,2018
AnishPrabhakar5,@VodafoneIN is becoming worst network! Even the WhatsApp message is not delivering!,en,TwitterHandle,@VodafoneIN,0.01,Mar,2018
AnishPrabhakar5,@lehalea97 _Ÿ˜ƒ,und,TwitterHandle,@lehalea97,0.01,Mar,2018
AnishPrabhakar5,RT @KeralaTourism: 'Kalari' finds its mention in Sangam literature and is believed to be one of the oldest martial artforms in the world thâ€_,en,concept,World,0.91136,Mar,2018
AnishPrabhakar5,RT @KeralaTourism: 'Kalari' finds its mention in Sangam literature and is believed to be one of the oldest martial artforms in the world thâ€_,en,TwitterHandle,@KeralaTourism,0.01,Mar,2018
AnishPrabhakar5,"RT @FCBarcelona: Tâ__ï¸èP 5ï¸èâƒ£
@Ibra_official starts a new stage in the @MLS
Good luck in the USA! https://t.co/mAesjVAg6x",en,concept,New York City,0.915527,Mar,2018
AnishPrabhakar5,"RT @FCBarcelona: Tâ__ï¸èP 5ï¸èâƒ£
@Ibra_official starts a new stage in the @MLS
Good luck in the USA! https://t.co/mAesjVAg6x",en,concept,Russia,0.884833,Mar,2018
AnishPrabhakar5,"RT @FCBarcelona: Tâ__ï¸èP 5ï¸èâƒ£
@Ibra_official starts a new stage in the @MLS
Good luck in the USA! https://t.co/mAesjVAg6x",en,Location,USA,0.934274,Mar,2018
AnishPrabhakar5,"RT @FCBarcelona: Tâ__ï¸èP 5ï¸èâƒ£
@Ibra_official starts a new stage in the @MLS
Good luck in the USA! https://t.co/mAesjVAg6x",en,TwitterHandle,@Ibra_official,0.934274,Mar,2018
