date;text;
16.09.17 08:29;# LoveJihadTapes # LordKabir Yah jug nirdhana dhanvanta na koy dhanvanta so janiye ram nam dhan hoypic.twitter.com/EaHnfBPrXR;
16.09.17 08:15;# LoveJihadTapes # LordKabir # IndiraCanteen 84 लक्ष्य योनियो से छुटकारा पाने केलिए अवश्य देखे # संतरामपालजी का अमृत वचन वृंदा TVपर रात 9:30pic.twitter.com/fD1Tzl4XEZ;
16.09.17 08:08;# LoveJihadTapes # LordKabir # IndiraCanteen 84 लक्ष्य योनियो से छुटकारा पाने केलिए अवश्य देखे # संतरामपालजी का वृंदा TVपर रात 9:30PMसे https://pic.twitter.com/4ELexy9rL0;
15.09.17 18:22;Compare this with bigoted India's # NIA investigating # LoveJihad # LoveJihadTapes cc: BJP poodle @ TimesNow @ republichttp://www.bbc.com/news/world-africa-41278610 …;
15.09.17 18:00;# lovejihadtapes Kerela is mucky mess. We need to impose President rule. Love jihad is not acceptable to Hindus. RSS is Hindu cultural organ;
15.09.17 17:26;# lovejihadtapes its because we as Hindus did not invest in explaining Hinduism to all.We indulged in caste system;
13.09.17 19:44;# LoveJihadTapes save our girls https://twitter.com/VibhaSays/status/898414482946351108 …;
13.09.17 19:43;# LoveJihadTapes IT IS SHAME ON PART OF CIVIL SOCIETY https://twitter.com/anil_anl2/status/898449217697402880 …;
13.09.17 19:42;# LoveJihadTapes NO MORE LOVEJIHAD https://twitter.com/bharatvanshi_tw/status/898452841446035457 …;
13.09.17 19:42;# LoveJihadTapes stop IT https://twitter.com/DoomBlack1/status/898500727277998080 …;
13.09.17 19:41;# LoveJihadTapes SO SICKULAR https://twitter.com/CKP_Vignesh/status/898505059817857024 …;
13.09.17 19:40;# LoveJihadTapes https://twitter.com/Deepak_oom/status/898565526443524097 …;
13.09.17 19:38;# LoveJihadTapes https://twitter.com/akhandABVP/status/898762247127748609 …;
13.09.17 19:37;# LoveJihadTapes https://twitter.com/Keshavamrao/status/898784518676533248 …;
13.09.17 19:37;# LoveJihadTapes https://twitter.com/nav_nirvana/status/898821100586508289 …;
13.09.17 19:35;# LoveJihadTapes WAKE UP HINDUS https://twitter.com/Drg_nn/status/898866891795480576 …;
13.09.17 19:34;# LoveJihadTapes https://twitter.com/Theo_786/status/898940603899273216 …;
13.09.17 19:33;# LoveJihadTapes https://twitter.com/khandelwalpan2/status/898976519665590272 …;
